"Lon","Lat","NAMES","DATE","TYPE"
-142.9,61.5,"June 2000",2000-06-16 06:00:00,"Class_A"
-132.7982,55.1872,"1995",1995-05-15 06:00:00,"Class_A"
-132.8202,55.2035,"February 2004",2004-02-09 06:00:00,"Class_A"
-141.5667,62.9375,"June 2004",2004-06-18 06:00:00,"Class_A"
-149.7853,61.0595,"February 2004",2004-02-15 06:00:00,"Class_A"
-141.3165,62.77335,"April 2008",2008-04-23 06:00:00,"Class_A"
-147.8142,64.89139,"July 2009",2009-07-15 06:00:00,"Class_A"
-85.16235,32.31435,"September 1981 and 1982",1981-09-15 06:00:00,"Class_A"
-87.32655,33.28375,"July 1999",1999-07-15 06:00:00,"Class_A"
-86.4559,34.95605,"November 1983",1983-11-15 06:00:00,"Class_A"
-86.66465,34.5422,"October 2000",2000-10-10 06:00:00,"Class_A"
-87.02025,34.9263,"August 1993",1993-08-20 06:00:00,"Class_A"
-87.50905,34.80405,"79, 80, 99",1999-11-15 06:00:00,"Class_A"
-87.1105,34.92855,"1978",1978-04-15 06:00:00,"Class_A"
-88.17885,33.13195,"November 1980",1980-11-15 06:00:00,"Class_A"
-88.08305,31.4515,"January 1997",1997-01-06 06:00:00,"Class_A"
-87.45876,33.97575,"1990",1990-09-15 06:00:00,"Class_A"
-87.96095,31.58255,"December 1996",1996-12-05 06:00:00,"Class_A"
-86.6333,34.4881,"2000",2000-06-01 06:00:00,"Class_A"
-87.00665,34.6802,"2001",2001-10-15 06:00:00,"Class_A"
-87.09069,31.16,"February 2000",2000-02-10 06:00:00,"Class_A"
-88.14999,33.13,"June 1958",2007-09-01 06:00:00,"Class_A"
-87.35664,33.21145,"August 2003",2003-08-30 06:00:00,"Class_A"
-87.31821,33.26035,"June 2003",2003-06-28 06:00:00,"Class_A"
-86.52105,34.7325,"1949",2004-05-28 06:00:00,"Class_A"
-85.4258,32.6218,"January 2000",2003-11-26 06:00:00,"Class_A"
-86.64066,33.3674,"March 2004",2004-05-09 06:00:00,"Class_A"
-86.4664,33.6205,"October 1986",2004-09-30 06:00:00,"Class_A"
-86.7891,33.8132,"September 1979",1979-09-15 07:00:00,"Class_A"
-87.24547,32.30673,"July 1985",2006-09-10 06:00:00,"Class_A"
-86.99782,31.00002,"December 2002;2006",2006-07-06 06:00:00,"Class_A"
-85.705,32.43,"January 2007",2007-05-19 06:00:00,"Class_A"
-85.625,33.35,"June 2005",2007-04-22 06:00:00,"Class_A"
-86.17524,34.27607,"1992",1992-08-15 06:00:00,"Class_A"
-86.5,33.59,"July 2007",2007-07-18 06:00:00,"Class_A"
-86.581,32.184,"April 2001",2001-04-13 06:00:00,"Class_A"
-86.17122,33.36305,"1999",1999-11-23 06:00:00,"Class_A"
-86.6575,34.71139,"February 2009",2009-02-24 06:00:00,"Class_A"
-87.91833,30.7113,"September 1979",1979-09-14 07:00:00,"Class_A"
-86.4891,32.76967,"May 2000",2000-05-13 06:00:00,"Class_A"
-85.35995,31.86801,"January 1980",1980-01-12 06:00:00,"Class_A"
-87.53395,33.8957,"March 2010",2010-03-12 06:00:00,"Class_A"
-87.53395,33.8957,"1990",1990-05-15 06:00:00,"Class_A"
-87.77686,34.70112,"January 2005",2005-01-12 06:00:00,"Class_A"
-92.34083,34.55056,"1998",2001-08-11 06:00:00,"Class_A"
-92.38222,36.19444,"1972",1972-11-05 06:00:00,"Class_A"
-92.385,36.33528,"May 1995",1995-05-15 06:00:00,"Class_A"
-93,34.08,"October 1996",1996-10-15 06:00:00,"Class_A"
-93.1,34.25,"October 1998",1998-10-29 06:00:00,"Class_A"
-94.3643,33.76986,"August 1969",1969-08-16 07:00:00,"Class_A"
-91.735,34.787,"October 1943",2001-08-11 06:00:00,"Class_A"
-90.51056,36.12083,"January 1988",1988-01-10 06:00:00,"Class_A"
-92.03389,33.82111,"July 2001",2001-07-29 06:00:00,"Class_A"
-93.83426,35.9975,"June 1970",1970-06-15 07:00:00,"Class_A"
-93.15208,35.42097,"November 1998",1998-11-15 06:00:00,"Class_A"
-93.20389,33.88861,"April 1984",1984-04-17 05:00:00,"Class_A"
-93.886,33.26666,"January 2000",2000-01-15 06:00:00,"Class_A"
-91.1125,36.19791,"1977",1977-09-25 07:00:00,"Class_A"
-92.58667,34.56444,"October 1994",1994-10-15 07:00:00,"Class_A"
-91.87,36.37111,"March 1997",1997-03-14 06:00:00,"Class_A"
-94.23417,36.20611,"October 2002",2002-10-10 06:00:00,"Class_A"
-94.45417,34.70694,"1998",1998-07-07 06:00:00,"Class_A"
-94.44694,36.18333,"October 1981",2004-04-04 06:00:00,"Class_A"
-91.45889,35.64861,"November 1999",1999-11-15 06:00:00,"Class_A"
-93.94583,36.34167,"1994",2003-10-31 06:00:00,"Class_A"
-91.08056,34.88111,"1961",1961-10-15 07:00:00,"Class_A"
-93.13361,35.27833,"August 2003",2003-08-12 06:00:00,"Class_A"
-93.9475,33.18639,"February 2000",2004-02-19 06:00:00,"Class_A"
-92.40778,34.53167,"March 2004",2004-04-03 05:00:00,"Class_A"
-94.356,35.09306,"July 1988",2004-04-23 06:00:00,"Class_A"
-91.27056,33.7985,"May 2001",2001-05-15 06:00:00,"Class_A"
-93.74,36.41,"July 1994",1994-07-16 06:00:00,"Class_A"
-91.51306,35.44944,"July 1986",1986-07-15 06:00:00,"Class_A"
-92.61493,33.14663,"November 2002",2002-11-05 06:00:00,"Class_A"
-92.12,34.87,"1975",1975-09-15 07:00:00,"Class_A"
-93.75723,36.31519,"1981",1981-07-15 06:00:00,"Class_A"
-92.64423,33.2467,"July 1975",1975-07-15 07:00:00,"Class_A"
-92.64066,33.26462,"May 2005",2005-05-07 06:00:00,"Class_A"
-93.162,34.285,"December 2005",2005-12-04 06:00:00,"Class_A"
-93.75313,35.34572,"June 1986",1986-06-01 06:00:00,"Class_A"
-90.32,35.0194,"June 1980",1980-06-15 06:00:00,"Class_A"
-94.3745,34.369,"October 2004",2004-10-15 06:00:00,"Class_A"
-93.07654,34.44652,"September 1992",1992-06-14 06:00:00,"Class_A"
-93.89135,33.14759,"November 1996",1996-11-15 06:00:00,"Class_A"
-94.229,35.36335,"September 1985",2010-03-23 07:00:00,"Class_A"
-92.63179,36.29871,"January 2004",2004-01-14 06:00:00,"Class_A"
-110.1835,31.99003,"July 1977",2000-10-10 06:00:00,"Class_A"
-110.8403,34.90831,"December 2000",2000-12-24 06:00:00,"Class_A"
-109.4276,36.09081,"June 2001",2001-06-17 06:00:00,"Class_A"
-111.5,34.4,"December 1983",1983-12-30 06:00:00,"Class_A"
-109.3191,33.6247,"September 1993",1993-09-04 06:00:00,"Class_A"
-109.29,36.54165,"November 1981",1981-11-07 06:00:00,"Class_A"
-111.938,35.656,"July 1990",1990-07-01 06:00:00,"Class_A"
-109.64,34.325,"October 2006",2006-10-26 06:00:00,"Class_A"
-109.675,32.815,"January 2007",2007-01-22 06:00:00,"Class_A"
-109.44,34.6,"February 2007",2007-02-01 06:00:00,"Class_A"
-111.69,33.85,"1990's",1995-07-15 06:00:00,"Class_A"
-110.4298,33.99989,"October 2006",2006-10-15 06:00:00,"Class_A"
-112.6432,33.3785,"April 2004",2008-07-29 06:00:00,"Class_A"
-111.1367,34.28939,"November 2006",2006-11-17 06:00:00,"Class_A"
-111.8634,35.241,"December 1973",1973-12-20 06:00:00,"Class_A"
-110.165,34.1,"March 2010",2010-03-24 07:00:00,"Class_A"
-112.5421,34.55154,"August 1981",1981-08-15 06:00:00,"Class_A"
-119.6436,37.35944,"October 1988",1988-10-01 07:00:00,"Class_A"
-119.9833,38.93333,"June 2000",2000-06-15 06:00:00,"Class_A"
